date,character_class,world_name,dojang_best_floor,date_dojang_record,dojang_best_time,nickname
,팔라딘,베라,60,2022-06-09T00:00+09:00,882,승효
,듀얼블레이더,제니스,92,2025-06-30T00:00+09:00,900,뿡뿡찌뿡
,비숍,베라,81,2023-08-21T00:00+09:00,895,헤쿠
,패스파인더,이노시스,91,2025-02-16T00:00+09:00,893,택이
,듀얼블레이더,크로아,91,2025-04-20T00:00+09:00,878,일정
,나이트로드,크로아,0,,0,서브
,"아크메이지(불,독)",크로아,70,2022-06-05T00:00+09:00,874,속박
,다크나이트,엘리시움,92,2024-05-12T00:00+09:00,879,퍼리
,듀얼블레이더,엘리시움,75,2023-06-30T00:00+09:00,880,옥토
,듀얼블레이더,오로라,91,2025-05-11T00:00+09:00,887,룬님
,나이트로드,스카니아,70,2022-09-15T00:00+09:00,876,신수학다니자
,"아크메이지(불,독)",엘리시움,75,,861,강난빵
,나이트로드,오로라,77,2023-02-15T00:00+09:00,890,제천시
,윈드브레이커,엘리시움,93,2025-01-28T00:00+09:00,899,가을바람
,아델,엘리시움,87,2024-02-18T00:00+09:00,896,졸린헤헤
,듀얼블레이더,엘리시움,90,2025-05-31T00:00+09:00,878,피리꾼
,섀도어,스카니아,94,2025-04-20T00:00+09:00,855,미투
,듀얼블레이더,루나,65,2022-06-05T00:00+09:00,855,StroboNights
,나이트로드,루나,90,2025-05-04T00:00+09:00,895,천화린
,팬텀,베라,89,2025-05-04T00:00+09:00,887,써드
,나이트로드,유니온,76,2024-12-10T00:00+09:00,651,호타룽
,히어로,유니온,86,2024-10-19T00:00+09:00,898,군필히붕이
,"아크메이지(썬,콜)",루나,89,2024-03-16T00:00+09:00,891,찌릿
,듀얼블레이더,엘리시움,93,2025-06-15T00:00+09:00,891,or릇
,비숍,크로아,95,2025-02-01T00:00+09:00,876,이앗
,제로,엘리시움,93,2025-02-26T00:00+09:00,889,적분쓰
,"아크메이지(불,독)",스카니아,63,,880,쿠쿠
,나이트로드,스카니아,80,2024-11-30T00:00+09:00,878,어어
,스트라이커,엘리시움,96,2025-07-07T00:00+09:00,873,벨벨
,나이트로드,엘리시움,71,2023-03-01T00:00+09:00,888,에보
,윈드브레이커,루나,93,2025-06-26T00:00+09:00,893,윈포
,데몬슬레이어,크로아,94,2025-04-13T00:00+09:00,892,궁극
,나이트로드,루나,80,2024-09-08T00:00+09:00,857,빙규
,에반,루나,91,2025-04-18T00:00+09:00,897,복귀3분차
,데몬어벤져,베라,80,2023-10-03T00:00+09:00,887,피통
,에반,엘리시움,93,2025-07-15T00:00+09:00,878,끅예
,패스파인더,베라,65,2023-08-05T00:00+09:00,894,동수칸
,데몬어벤져,제니스,76,2022-08-24T00:00+09:00,871,마옹언니
,아델,크로아,90,2025-02-01T00:00+09:00,889,신진골
,나이트워커,엘리시움,93,2025-05-31T00:00+09:00,877,도닌
,다크나이트,스카니아,89,2024-11-10T00:00+09:00,873,거젠
,비숍,크로아,92,2025-04-19T00:00+09:00,876,뽀록
,윈드브레이커,크로아,92,2024-11-14T00:00+09:00,898,유영준
,신궁,스카니아,82,2024-06-01T00:00+09:00,891,겹궁
,제논,스카니아,80,2025-01-16T00:00+09:00,886,0히페리온0
,팔라딘,엘리시움,95,2025-02-25T00:00+09:00,892,슈밤
,제논,엘리시움,0,,0,뻣밍
,듀얼블레이더,루나,91,2025-05-20T00:00+09:00,860,강오닝
,듀얼블레이더,루나,72,2022-09-02T00:00+09:00,877,서화솜
,"아크메이지(불,독)",루나,88,2024-09-29T00:00+09:00,885,백새송
,팔라딘,엘리시움,94,2025-01-25T00:00+09:00,892,일라오이
,비숍,오로라,93,2025-06-15T00:00+09:00,856,랏낙
,엔젤릭버스터,엘리시움,60,,871,장원영
,은월,베라,93,2025-02-25T00:00+09:00,885,내로
,나이트로드,엘리시움,79,2024-02-17T00:00+09:00,831,응급노래
,비숍,스카니아,50,2024-07-13T00:00+09:00,549,카플
,"아크메이지(불,독)",엘리시움,90,2024-12-29T00:00+09:00,892,이소이
,윈드브레이커,엘리시움,98,2025-06-17T00:00+09:00,894,세계
,듀얼블레이더,엘리시움,88,2025-01-26T00:00+09:00,862,sollov
,섀도어,스카니아,70,2023-09-23T00:00+09:00,868,외국인
,나이트워커,크로아,58,,844,나워이지여
,플레임위자드,제니스,95,2025-02-23T00:00+09:00,894,동동주
,듀얼블레이더,루나,0,,0,소록창
,섀도어,엘리시움,62,2023-03-01T00:00+09:00,854,최강셰도찬희
,나이트워커,스카니아,90,2025-01-20T00:00+09:00,899,서아
,섀도어,스카니아,87,2023-10-04T00:00+09:00,890,뉴비
,나이트로드,스카니아,84,2025-03-30T00:00+09:00,848,삐만
,히어로,유니온,64,2023-08-31T00:00+09:00,878,늘청송
,스트라이커,베라,58,,838,도깨비감투
,엔젤릭버스터,스카니아,86,2024-08-18T00:00+09:00,872,챠분
,메르세데스,루나,91,2025-04-20T00:00+09:00,881,신피
,비숍,크로아,91,2024-07-26T00:00+09:00,899,차형주
,"아크메이지(썬,콜)",크로아,82,2024-09-22T00:00+09:00,897,레미디오스
,윈드브레이커,스카니아,83,2024-04-24T00:00+09:00,895,똥노비
,호영,스카니아,91,2025-04-22T00:00+09:00,886,애앙
,팔라딘,오로라,58,2023-07-25T00:00+09:00,847,근거
,메르세데스,엘리시움,92,2025-04-05T00:00+09:00,880,티레사
,은월,오로라,67,2023-07-16T00:00+09:00,884,공돌
,메르세데스,크로아,57,2023-08-30T00:00+09:00,837,솔진
,제논,크로아,80,2023-02-07T00:00+09:00,884,맑음
