user_name,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,ouid
타루,UNRANK,2350.0,UNRANK,2350.0,2ed5e828450f875917887a085c84d918
최윤미,GOLD I,1996.0,GOLD I,1999.0,8d5612676718a14fade04f2cb91561c0
레전드123,UNRANK,1799.0,GOLD III,2250.0,648fbbc694e660a33b8cef0cbae3f1d9
한번해,GOLD II,2199.0,GOLD I,1976.0,12ae316087ba4a9e3ea486120d61efe7
FINE,SILVER III,1799.0,GRAND MASTER I,3092.0,27717da7b2d71df52896180856ccbea8
히히,GOLD II,2199.0,UNRANK,1800.0,55f3c861f0b35e0633e647c476cb795e
응아,UNRANK,1950.0,MASTER I,2599.0,99bf573152209e7f1cdf6db6bedc772f
Shy,UNRANK,2450.0,LEGEND,3667.0,6d5edf92a4ea7f3d18c806c00a3c9593
cherrykiss,GRAND MASTER I,3026.0,GOLD III,2374.0,0d9807ab206e5a2172f57ec9f50bea98
솔,UNRANK,1400.0,UNRANK,1400.0,dc0559231f37697e31549b40fd7de706
반예빈,SILVER III,1646.0,UNRANK,1550.0,284876168e1a9d0eda99ab4b771b5286
둥이,GRAND MASTER I,3050.0,MASTER III,2822.0,1baf251696168578cce1d408fa8e4f55
랄하~,MASTER II,2763.0,GOLD III,2372.0,834284fa6e7cf65914a7cde283a21b08
色女,SILVER I,1236.0,UNRANK,1400.0,82235398864c70779300daea913744d3
unknown,UNRANK,2350.0,UNRANK,2350.0,52c7326c888b04902d01f399fb912a14
악준,GRAND MASTER I,3100.0,MASTER II,2794.0,cfd88abbcc74eb55941d6723fb95dca8
Κiii,BRONZE III,1191.0,UNRANK,1400.0,38906987f54adc55e11fb32f4ea76cf2
전번,UNRANK,2480.0,MASTER III,2999.0,d7369b912c3b1bbbbef83a1f2cd3b28d
유키브페,GOLD II,2172.0,GOLD II,2069.0,72ae7ade509d482f7b5aef7450ea073e
칠보장어,SILVER II,1480.0,UNRANK,1500.0,4b72c0667ec35b31a29fbcf957fe9570
투썸,GOLD II,2137.0,UNRANK,1800.0,593d755a6bb13d9838ac833d32f7fce2
Jiyoung,GRAND MASTER II,3299.0,GRAND MASTER II,3282.0,ab52d88c8fe807829a92e597cb96e841
자두,UNRANK,1894.0,MASTER I,2487.0,45b1a2043c7c65ed1e199fd1ddb185ba
핏자국,GOLD I,1998.0,UNRANK,1400.0,2761c3d84c872da16a42327ef1f77afa
에바몽,MASTER II,2704.0,MASTER II,2766.0,f63e0a98179008ae19faab242211fa02
평생로젠,GOLD I,1927.0,GOLD I,1968.0,a985f820f03659e122385ff11646af73
지도,UNRANK,1750.0,MASTER I,2494.0,018eec186511a63ea86738c7799252e0
젤,GOLD I,1843.0,UNRANK,1750.0,06ac78845d5e6fe1df8cfd564e6c1234
최윤성v,MASTER II,2772.0,UNRANK,2382.0,d8073e6267b2c16c9a9997e546d9b201
불주,GOLD II,2032.0,GOLD II,2175.0,f83605e5fb8eafbf8257291088840791
정말,MASTER III,2859.0,MASTER I,2476.0,67e18db111ba767dba205c9e0f508bac
따뜻하게입고다녀,MASTER I,2455.0,UNRANK,2000.0,e6ac81dd9c38524bb494689d315e9fd9
스토리텔러,MASTER III,2973.0,MASTER II,2799.0,46a6b7706dddde2fd761220d91daccdc
Iip,UNRANK,2350.0,UNRANK,2350.0,f33ac3bc20179d08fd3320f33ebfe242
그사건,GOLD III,2356.0,GOLD III,2399.0,e017c1019117b828bcbea77f55f506c7
반하나,GOLD III,2331.0,MASTER I,2483.0,30a3ec8484ddb8426f5a0d1d7cf86584
공인,UNRANK,1500.0,UNRANK,1500.0,2733455b1b1c04a6614483e86404d594
영민,UNRANK,1750.0,GOLD II,2171.0,2e7780aea1fd653770023cc67cb946cf
감각,MASTER I,2521.0,UNRANK,2000.0,2ce42ac3d20ab0bcb21b72ff6675ecba
시윤츄,SILVER II,1541.0,UNRANK,1400.0,a8f3e2f4ad589abf83ac9febe5a36453
쯔양,GOLD I,1828.0,GOLD II,2117.0,26c6ef281b80c34f703a378b34568d80
Poni,GOLD II,2070.0,UNRANK,1800.0,16650f3a8db2d4f4f06f38fb97b67247
강경민,UNRANK,1950.0,GOLD III,2253.0,5f5eef029527bcd41e71832d0ef7f570
