user_date_create,ouid,manner_score,clan_flag
2008-04-20,e9dac9c57af35bd8cf434e6239a9fc3f,3.0,1
2013-06-07,579146791d26cea6e11c6f7649f957b7,1.0,1
2010-10-17,5915ed69ec8a8c2be7c3f4fbbfdfee40,3.0,1
2005-12-30,dd58a01cd9a23c6bfd068d0258eb4e72,1.0,1
2016-10-13,a69148eef542904110a495c48b4bb35b,3.0,1
2007-06-25,47f564778ee893c688a7adc4c303c103,0.0,1
2011-10-20,fd85308f3987feb460bb34be92c75386,3.0,1
2012-02-04,a187d175f943f8b6bf1ab0e69a13826f,3.0,1
2017-10-09,46ed743c39fea43c228dec42f3a771a6,3.0,1
2017-02-09,91842acf8ddae9170361dd4b91021175,3.0,1
2008-01-29,c5085490bfe6925f4d8d902d3fd996ae,1.0,1
2018-05-20,0405878b861ba46a0ecd961ac737963e,3.0,1
2011-07-16,4bb997a7f1c21ab2c681cb52408b771f,3.0,1
2013-08-31,01e418adbb180c3899de0ae34dd9789f,3.0,1
2013-03-09,b749cda7cd2f3182664ca89224fb2929,3.0,1
2012-08-25,8a586766e35a66b12e61adfe77ee3345,3.0,1
2012-06-02,57d78b214f2d3d3c026215be9528efff,3.0,1
2019-03-04,8fcceda225ce8b77ecd48ef844b0793f,3.0,1
2014-06-15,ec3300d4f9f4f1be32d7e082ebcb6d19,3.0,1
2011-08-13,5a7cf65265ee9966eface4ee8c8fbfa6,3.0,1
2007-03-18,e5719b82d752dcce65256e444a540958,3.0,1
2006-09-03,284c18d64828530106ef73d63c9bc077,3.0,1
2019-10-08,0f0cf6a689653b28c6d704c777cdd570,0.0,1
2018-07-20,51dd016337e371792658cf53057b9cc5,3.0,1
2016-02-16,ab5e7b1c66e61c0371d0fb5f3b78154b,3.0,1
2013-07-18,2d4702d5ab3a7cc1a4001a51ba9404e8,3.0,1
2009-07-07,38e8c109e706516de047c5902d4e0f70,3.0,1
2011-11-17,19104fa876bd2ff725f3995f5a478910,3.0,1
2014-01-11,de627e2940d2ceb5d6fab2a738b9d860,3.0,1
2010-12-23,766cb6d70a56870a31b58101bf4747f6,3.0,1
2009-11-18,8be5f3f717818b7eba82149d02ea4f7e,3.0,1
2011-07-25,6c4df67c8bba255a4e464dc04d941427,3.0,1
2018-12-04,99d97d9d16a681cd89d1e7c827a27911,3.0,1
2011-07-27,ff1fb9a283d02bc12a4059b277cb9cd3,3.0,1
2011-07-13,770d6e0d64e4e40b3c6e06321bdb69ed,3.0,1
2019-07-27,be40d1d729e5d2a12ab77d236f7ca645,3.0,1
2011-07-16,bd785e176ee9a3a7a8d837288a42caed,3.0,1
2011-12-18,983948af2a5f8cc5762fdaa785a87782,3.0,1
2017-02-08,d45038d8ff32f9ed5d7f01294af5d68c,3.0,1
2011-01-13,8557c91e7291dc04631f23efb066b733,3.0,1
