nickname,world_name,character_class,character_level,character_exp_rate,character_date_create,dojang_best_floor,dojang_best_time,popularity,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
미녀아처,엘리시움,메르세데스,291,78.005,2022-06-12T00:00+09:00,88,884,519,194235229,228512032,118.00,519.00,73.25,95.84,197,118.35,56,100,75547,165,123,407,1350,760,11469,102601,7820,8541,43649,22630,4,1473,4,4,0,0,26,31,50,4,22.00,1,6,0,5.00,14.00,85,185.00,11032,2749,688110653,10,2080.0,160.0,100.0
휴덕,베라,다크나이트,290,20.574,2015-10-24T00:00+09:00,90,897,379,286360205,314681541,71.00,490.00,185.44,94.62,137,146.45,50,100,99999,160,123,411,1350,750,99803,13072,9521,9767,91712,22754,1468,4,4,4,-444,-231,47,21,102,4,52.00,5,6,7,5.00,14.00,91,162.00,10495,2750,622178670,10,2050.0,157.69230769230768,70.0
카벨,루나,데몬슬레이어,291,12.829,2014-01-20T00:00+09:00,93,900,922,126666852,140740945,72.00,557.00,73.03,96.50,94,104.00,90,100,99999,170,123,394,1350,760,100143,11866,9186,9318,79291,,1473,4,4,4,-420,0,26,31,133,5,13.00,0,6,7,5.00,14.00,90,170.00,9555,2562,683165712,12,2080.0,160.0,100.0
패권,엘리시움,듀얼블레이더,290,31.103,2012-01-26T00:00+09:00,76,892,238,84517601,93908445,69.00,379.00,53.95,83.72,128,101.45,72,100,86846,170,123,340,1370,750,7441,9096,5722,68563,47376,28892,4,4,4,1468,0,-183,243,143,55,6,94.00,5,6,7,5.00,0.00,90,360.00,9548,2065,315616897,0,2040.0,156.92307692307693,60.0
더협,크로아,캐논마스터,293,54.174,2018-01-27T00:00+09:00,89,861,620,132506668,154077519,151.00,421.00,74.76,87.63,143,144.20,54,100,99999,160,123,260,1370,760,65615,7949,5340,5337,84403,46559,1483,4,4,4,0,0,264,201,107,2,140.00,0,6,7,5.00,0.00,86,549.00,8660,1938,249561217,12,2080.0,160.0,100.0
Mushroom,엘리시움,듀얼블레이더,290,4.078,2016-03-09T00:00+09:00,79,885,1320,80060458,87978524,76.00,435.00,53.95,93.82,100,107.45,60,100,75699,160,123,321,1350,700,4590,7401,5260,62911,57280,32382,4,4,4,1468,350,91,264,139,60,6,17.00,5,6,7,5.00,6.00,91,148.00,9474,1837,302303242,10,2020.0,155.3846153846154,40.0
월일제논,유니온,제논,291,17.914,2013-01-03T00:00+09:00,61,853,851,198109950,220122165,106.00,592.00,26.50,96.93,95,105.25,69,100,99999,160,123,403,1350,750,52672,58742,25807,65027,97139,64474,330,330,4,821,0,0,25,29,55,5,12.00,2,6,0,5.00,14.00,90,189.00,9119,2634,689563699,10,2070.0,159.23076923076923,90.0
깡이,스카니아,팔라딘,293,31.671,2020-07-05T00:00+09:00,59,892,1133,59404838,66005375,63.00,361.00,54.00,89.54,88,106.85,84,100,99999,170,123,267,1370,760,63368,8029,4984,4171,92978,31883,1483,4,4,4,0,0,226,146,69,4,137.00,5,6,7,5.00,6.00,90,300.00,7504,1757,214392565,0,2080.0,160.0,100.0
빈핑,크로아,팬텀,292,5.884,2014-01-17T00:00+09:00,88,889,5094,145810152,162011277,120.00,443.00,88.76,97.72,90,116.80,75,100,68647,160,123,313,1350,760,8141,10176,7822,78146,80220,52645,4,4,4,1478,-501,-231,146,111,90,5,12.00,5,6,17,5.00,14.00,90,230.00,9298,2188,396869921,12,2080.0,160.0,100.0
고려,베라,아크,286,29.606,2018-10-03T00:00+09:00,89,882,1072,189249637,207966633,70.00,573.00,56.53,96.56,73,121.45,70,100,99999,171,123,420,1390,610,101073,13310,9799,9463,60215,32616,1448,4,4,4,0,0,12,10,51,5,12.00,3,5,7,5.00,14.00,91,74.00,11009,2911,711332320,10,1930.0,148.46153846153845,0.0
진동,스카니아,윈드브레이커,291,91.242,2019-12-20T00:00+09:00,91,887,289,287367308,338079183,143.00,572.00,78.05,97.79,200,166.70,69,100,82955,160,123,404,1350,750,14341,104187,11567,10132,61097,28708,4,1473,4,4,0,0,25,29,55,4,12.00,5,6,3,5.00,14.00,85,191.00,13943,3431,685259159,10,2070.0,159.23076923076923,90.0
TAYO,스카니아,비숍,293,36.123,2023-07-19T00:00+09:00,80,880,578,280021826,294759812,178.00,376.00,228.09,92.16,103,135.75,69,100,30248,160,123,328,1350,760,6288,6425,71137,10418,67618,102141,4,4,1483,4,0,0,346,255,207,4,106.00,0,6,7,15.00,0.00,95,760.00,2628,9130,254459647,10,2080.0,160.0,100.0
우냐,스카니아,나이트로드,290,84.965,2021-02-26T00:00+09:00,85,900,844,97034557,112830879,98.00,415.00,61.77,91.65,140,123.40,71,100,44871,160,123,294,1380,740,4463,6702,4107,63962,37805,21772,4,4,4,1468,0,0,322,251,50,6,118.00,0,6,0,5.00,13.00,86,673.00,7667,1697,253478410,10,2060.0,158.46153846153845,80.0
로밍,엘리시움,"아크메이지(불,독)",293,56.473,2018-07-12T00:00+09:00,84,889,2496,180615813,190121907,113.00,499.00,54.00,97.35,90,108.15,55,100,36778,160,123,444,1350,770,7918,9476,104407,13433,38932,70123,4,4,1483,4,0,0,27,31,198,4,12.00,5,6,3,15.00,14.00,95,197.00,3398,11205,681396299,10,2090.0,160.76923076923077,110.0
소호,엘리시움,데몬슬레이어,294,14.798,2011-09-02T00:00+09:00,90,890,1900,140072169,153925458,169.00,323.00,83.41,91.27,100,109.15,106,100,99999,160,123,324,1350,760,72836,9044,6017,6706,80673,,1488,4,4,4,-500,0,285,201,82,5,110.00,0,6,17,5.00,6.00,91,675.00,8655,1937,224312591,10,2080.0,160.0,100.0
유산슬,루나,듀얼블레이더,290,26.14,2018-12-27T00:00+09:00,79,892,1320,145808877,160229534,76.00,524.00,53.95,95.01,100,120.20,59,100,99999,160,123,428,1350,750,11454,14921,10222,94907,57098,21700,4,4,4,1468,550,300,46,14,72,6,12.00,5,6,6,5.00,14.00,91,185.00,11204,2578,676890145,0,2040.0,156.92307692307693,60.0
진조커,스카니아,팬텀,291,3.722,2019-01-26T00:00+09:00,72,873,170,244950335,269176190,132.00,480.00,88.76,97.33,101,127.75,75,100,77234,168,123,415,1360,730,10523,12750,9744,102202,56889,38832,4,4,4,1473,0,0,23,28,30,5,12.00,5,6,17,5.00,14.00,91,108.00,11216,2778,675695231,10,2050.0,157.69230769230768,70.0
