character_level,character_exp_rate,dojang_best_floor,dojang_best_time,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,방어력,이동속도,스타포스,STR,DEX,INT,LUK,HP,MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
288,0.61157,88,897,19.119651459766764,19.22501197244201,72.0,520.0,53.95,0.9534999999999999,0.87,114.75,0.55,11.512925464970229,170,452,9.677276802172448,9.878938679614715,9.596622660667574,11.567924883188834,10.81859758766212,10.327087230839775,0.12,0.08,0.9,6,12.0,5,0.06,0.03,0.05,0.13,90,0.72,9.559305672844863,8.093156697722637,20.699818440702266,12,1980.0,152.30769230769232,0.0
290,0.41514,99,885,19.34104813096471,19.44640863825671,106.0,533.0,88.76,0.9753000000000001,0.9,117.45,0.78,11.229806299938259,170,408,9.059168584174444,9.312355297382913,9.041803370152845,11.579564902636335,10.935087150721298,10.336989269338149,0.27,0.24,0.6,5,12.0,5,0.06,0.17,0.05,0.14,90,1.97,9.439863530254431,7.972121128921655,20.543834503829235,0,2090.0,160.76923076923077,110.0
293,0.09737,92,879,19.475190597361085,19.580551097690932,113.0,483.0,268.75,0.9673999999999999,1.04,142.25,0.75,11.512925464970229,160,309,11.226069717684418,9.03145291191651,8.68490859582083,8.64541048921699,11.335937658406873,10.306081877219272,3.4,2.54,0.55,4,118.0,3,0.06,0.0,0.05,0.0,90,5.93,9.120306249272202,7.6577552711348655,19.669640604075887,10,2080.0,160.0,100.0
294,0.59494,92,862,18.819894949144437,18.91420561707711,190.0,425.0,46.41,0.9261,1.0,140.5,0.85,11.512925464970229,160,291,11.144958433282149,8.862483576488332,8.454253391642363,8.4906438561827,11.202343172632116,10.495930028974442,2.91,2.56,0.55,5,149.0,0,0.06,0.07,0.05,0.06,91,7.14,9.118334726180159,7.707062655370473,19.467977050256255,10,2090.0,160.76923076923077,110.0
291,0.8710800000000001,83,875,18.80866449293557,18.914024999095467,63.0,566.0,54.0,0.9575,0.88,132.85,0.91,11.512925464970229,160,430,11.517156501498045,9.49521851709523,9.171911345356401,9.172638504792172,11.366349358824896,10.039721539859407,0.25,0.17,0.63,4,12.0,4,0.06,0.07,0.05,0.14,90,1.83,9.370245889485805,8.047509510981422,20.536063447845788,10,2070.0,159.23076923076923,90.0
292,0.6990099999999999,96,835,18.714361130494517,18.755183105929596,145.0,332.0,74.46,0.9222,1.71,115.85,0.59,11.102141235384464,170,274,8.649623978596727,8.595819511871428,11.06858958247307,8.918917979908679,11.719638776093117,11.018071610713937,3.34,2.58,0.6,4,106.0,2,0.06,0.0,0.05,0.0,96,7.54,7.753623546559746,9.241935933565934,19.254290656059975,10,2070.0,159.23076923076923,90.0
293,0.5414,95,866,19.245913807265655,19.351274316789624,78.0,549.0,100.2,0.9773999999999999,0.9,138.15,0.59,11.285874288825001,160,422,9.313708904953216,9.591990815318308,9.28637505825218,11.560962965006683,10.828242362822413,10.272496123633678,0.26,0.3,0.5,6,12.0,5,0.06,0.27,0.05,0.14,90,1.93,9.44184883962202,8.005367067316664,20.52976504066029,10,2080.0,160.0,100.0
292,0.6944400000000001,96,882,19.405106549109767,19.44592853735264,105.0,526.0,74.46,0.9753000000000001,1.0,153.2,0.59,11.512925464970229,170,433,9.347054195292005,9.38538551979936,11.54510219666545,9.612600349135398,11.75479655607717,10.698943095669854,0.47,0.23,0.78,4,12.0,4,0.06,0.0,0.05,0.14,96,1.85,8.172164452111904,9.627536402960045,20.528246617765703,10,2050.0,157.69230769230768,70.0
291,0.12076,89,876,19.109222098963464,19.150044080423704,289.0,378.0,54.0,0.915,1.16,109.5,0.69,10.303638565820524,170,291,8.714074899541522,8.607582191143917,11.190955559349124,9.104090572133472,10.923435350020556,11.740387677428455,2.7,1.33,2.03,4,98.0,0,0.06,0.03,0.15,0.0,96,6.695,7.821643126239982,9.175024026848615,19.59234541402474,20,2080.0,160.0,100.0
292,0.7558400000000001,93,877,18.627734148339346,18.679027425654397,79.0,363.0,58.73,0.9459000000000001,1.2,110.85,0.8,10.361418600547594,160,321,8.913684824725294,8.892061625546935,11.334121713437515,9.245128197461847,10.83381924711004,11.485811172478657,1.4,1.44,2.12,4,89.0,0,0.06,0.03,0.15,0.0,95,2.43,7.874358824729881,9.306831672164943,19.868722815987965,10,2070.0,159.23076923076923,90.0
290,0.16631,79,855,19.26550111933504,19.370861625970537,75.0,613.0,100.2,0.9834999999999999,0.9,138.45,0.53,11.293562259137364,160,429,9.256842205627603,9.603665420190179,9.301825062098361,11.57591904329801,11.003049390239825,10.41771737543568,0.89,0.48,0.3,6,12.0,5,0.06,0.27,0.05,0.14,90,1.42,9.463586267106836,8.130942302231878,20.5243505392051,20,2010.0,154.6153846153846,30.0
292,0.6070300000000001,93,871,19.150910492885394,19.313429415397096,72.0,593.0,73.42,0.9726,0.9,114.55,0.64,11.512925464970229,160,421,11.551145677789926,9.626283724371975,9.380167531188448,9.370331108285123,11.122132197093933,10.50525930200491,0.26,0.31,0.73,2,12.0,5,0.06,0.07,0.05,0.14,85,1.7,9.447071196798909,8.051340933292979,20.524016932371516,12,2080.0,160.0,100.0
