recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,ouid
96.666664,74.333336,74.333336,85.0,74.333336,fd85308f3987feb460bb34be92c75386
36.666668,58.999996,66.333336,67.666664,60.666668,a187d175f943f8b6bf1ab0e69a13826f
91.666672,63.166664,65.666672,74.333336,66.333336,46ed743c39fea43c228dec42f3a771a6
55.0,60.666668,57.666664,80.0,58.666668,91842acf8ddae9170361dd4b91021175
100.0,66.0,65.666672,83.0,67.666664,c5085490bfe6925f4d8d902d3fd996ae
48.333332,56.166668,55.666668,79.0,57.0,0405878b861ba46a0ecd961ac737963e
45.0,58.499996,50.666668,68.333336,55.333332,4bb997a7f1c21ab2c681cb52408b771f
46.666668,57.666664,54.71698,70.333336,46.42857,01e418adbb180c3899de0ae34dd9789f
43.333332,51.666664,52.666664,63.666668,51.546391,b749cda7cd2f3182664ca89224fb2929
85.294113,49.666668,48.666668,59.782608,44.333332,8a586766e35a66b12e61adfe77ee3345
65.0,56.333332,52.333332,98.666664,60.666668,57d78b214f2d3d3c026215be9528efff
46.666668,49.5,50.333332,56.0,52.333332,8fcceda225ce8b77ecd48ef844b0793f
100.0,61.666668,62.0,69.333336,54.0,ec3300d4f9f4f1be32d7e082ebcb6d19
45.0,55.666668,53.0,60.333332,54.0,5a7cf65265ee9966eface4ee8c8fbfa6
81.666664,61.333336,55.333336,73.0,59.666668,e5719b82d752dcce65256e444a540958
46.666668,52.333332,49.0,49.019608,51.666668,284c18d64828530106ef73d63c9bc077
48.333332,47.666668,43.0,39.666668,45.333332,0f0cf6a689653b28c6d704c777cdd570
66.666672,56.75676,0.0,67.5,69.230766,51dd016337e371792658cf53057b9cc5
45.0,45.166664,35.666668,70.0,40.0,ab5e7b1c66e61c0371d0fb5f3b78154b
81.666664,62.0,72.666664,80.333336,60.333332,2d4702d5ab3a7cc1a4001a51ba9404e8
51.666664,58.0,59.333332,64.333336,49.0,38e8c109e706516de047c5902d4e0f70
63.333332,51.333332,56.0,59.333332,55.333332,19104fa876bd2ff725f3995f5a478910
100.0,81.333336,0.0,99.666664,0.0,de627e2940d2ceb5d6fab2a738b9d860
50.0,56.5,49.090908,64.333336,51.666668,766cb6d70a56870a31b58101bf4747f6
100.0,66.5,0.0,73.333336,61.53846,8be5f3f717818b7eba82149d02ea4f7e
40.0,56.166668,54.000004,73.666664,48.0,6c4df67c8bba255a4e464dc04d941427
54.761906,51.256283,55.555557,58.666668,0.0,99d97d9d16a681cd89d1e7c827a27911
100.0,67.833336,59.333332,88.333336,0.0,ff1fb9a283d02bc12a4059b277cb9cd3
85.0,62.5,65.0,75.333336,65.0,770d6e0d64e4e40b3c6e06321bdb69ed
46.666668,58.0,57.666664,71.333336,56.666668,be40d1d729e5d2a12ab77d236f7ca645
100.0,57.666664,49.0,70.666664,60.666668,bd785e176ee9a3a7a8d837288a42caed
46.666668,63.5,54.333332,73.0,58.0,983948af2a5f8cc5762fdaa785a87782
51.666664,43.333332,45.0,56.0,43.84058,d45038d8ff32f9ed5d7f01294af5d68c
73.333336,61.166668,56.0,72.666664,62.333332,8557c91e7291dc04631f23efb066b733
61.666668,63.166664,61.333336,77.0,68.333336,e39b66d3d5b10c1bc98839097223a881
100.0,63.333332,55.333332,61.53846,62.666668,7cd4503eafa357b776a83f1ece8f39cb
63.333332,63.5,64.333328,83.0,63.666668,b6478724e45edc5a3c1a68fc1d246d0d
83.333336,58.833332,46.666668,73.0,100.0,f6d3c6d822465963c15439aa8f5250b3
61.666668,61.666668,62.333332,68.0,54.0,a88385953efcd6198fe30874dd875fb7
55.0,54.833336,54.666668,64.0,59.0,f31bdc2e6e5a7b749b4aac527411ffc3
56.666668,61.166668,64.0,72.0,61.0,36c99bc038ba198c2fc0b2ca59a17815
88.333336,56.166668,55.0,64.0,57.666668,7a06c09e0dce5bc8ea1ab40d00d12a49
61.666668,57.333332,57.333332,71.0,64.0,c2bbf914c13636dfa119709d763910fb
